5/6/2019 12:52:38 AM	174.91.140.188	3
5/6/2019 12:52:48 AM	174.91.140.188	4
5/6/2019 12:53:06 AM	174.91.140.188	5
5/6/2019 12:53:26 AM	174.91.140.188	6
5/6/2019 12:53:56 AM	174.91.140.188	7
5/6/2019 12:54:16 AM	174.91.140.188	8
5/8/2019 5:12:30 PM	73.67.38.212	3
5/8/2019 5:12:41 PM	73.67.38.212	4
5/8/2019 5:12:51 PM	73.67.38.212	5
5/8/2019 5:13:17 PM	73.67.38.212	6
5/8/2019 5:14:01 PM	73.67.38.212	7
5/8/2019 5:14:21 PM	73.67.38.212	8
5/8/2019 5:14:41 PM	73.67.38.212	9
5/8/2019 5:15:01 PM	73.67.38.212	10
5/8/2019 5:16:29 PM	73.67.38.212	11
5/8/2019 5:17:29 PM	73.67.38.212	12
5/8/2019 5:19:03 PM	73.67.38.212	13
5/8/2019 5:20:03 PM	73.67.38.212	14
5/8/2019 5:21:03 PM	73.67.38.212	15
5/8/2019 5:26:03 PM	73.67.38.212	16
5/8/2019 5:36:03 PM	73.67.38.212	17
5/8/2019 5:47:16 PM	73.67.38.212	18
5/8/2019 5:58:09 PM	73.67.38.212	19
5/9/2019 12:12:08 PM	74.126.2.41	3
5/9/2019 12:12:18 PM	74.126.2.41	4
12/14/2019 5:30:58 PM	24.116.109.122	3
12/14/2019 5:38:17 PM	24.116.109.122	4
12/14/2019 5:56:50 PM	24.116.109.122	5
12/14/2019 5:57:13 PM	24.116.109.122	6
12/14/2019 6:25:37 PM	24.116.109.122	7
12/15/2019 9:39:53 PM	95.239.167.101	3
12/16/2019 3:04:11 AM	67.193.24.207	3
12/16/2019 3:23:18 AM	67.193.24.207	4
12/16/2019 6:27:45 PM	90.213.254.57	3
12/16/2019 6:28:00 PM	90.213.254.57	4
12/16/2019 6:28:10 PM	90.213.254.57	5
12/16/2019 6:35:15 PM	90.213.254.57	6
12/16/2019 6:35:35 PM	90.213.254.57	7
12/18/2019 9:51:49 AM	176.59.116.162	3
12/18/2019 9:52:25 AM	176.59.116.162	4
12/18/2019 9:53:07 AM	176.59.116.162	5
12/18/2019 9:56:35 AM	176.59.116.162	6
12/18/2019 10:03:36 AM	176.59.116.162	7
12/18/2019 11:51:49 AM	113.159.250.204	3
12/18/2019 11:51:59 AM	113.159.250.204	4
12/18/2019 11:52:09 AM	113.159.250.204	5
12/18/2019 11:52:29 AM	113.159.250.204	6
12/18/2019 11:52:49 AM	113.159.250.204	7
12/18/2019 11:53:09 AM	113.159.250.204	8
12/18/2019 11:54:54 AM	113.159.250.204	9
12/18/2019 11:55:14 AM	113.159.250.204	10
12/18/2019 11:56:14 AM	113.159.250.204	11
12/18/2019 11:57:34 AM	113.159.250.204	12
12/18/2019 12:02:23 PM	113.159.250.204	13
12/18/2019 12:34:18 PM	113.159.250.204	14
12/18/2019 12:52:45 PM	113.159.250.204	15
12/21/2019 12:50:04 AM	182.209.50.241	3
